video_id,filename,niche,category,subcategory,micro_niche,full_path,confidence,matched_keywords,has_feature_data
DQryn9VDAR8,DQryn9VDAR8_olifro.st_score0.9112.mp4,unknown,unknown,,,,0.0,,no
DFh2SJLPJOb,DFh2SJLPJOb_omstudio.app_score0.8676.mp4,unknown,unknown,,,,0.0,,no
CzrKWlStZA1,CzrKWlStZA1_openiris_score0.8919.mp4,unknown,unknown,,,,0.0,,yes
DObTnabgmXc,DObTnabgmXc_openiris_score0.8917.mp4,unknown,unknown,,,,0.0,,yes
C8d-sYFiMo8,C8d-sYFiMo8_paperguideai_score0.8553.mp4,unknown,unknown,,,,0.0,,no
DCHfxZtCfGM,DCHfxZtCfGM_photomagiken_score0.8584.mp4,unknown,unknown,,,,0.0,,no
DSEuMfijAJK,DSEuMfijAJK_plaksiby_score0.8560.mp4,unknown,unknown,,,,0.0,,no
CrrifS6ICSJ,CrrifS6ICSJ_pop.smoke.media_score0.9611.mp4,unknown,unknown,,,,0.0,,no
Cy3bg2du6Mu,Cy3bg2du6Mu_pop.smoke.media_score0.9127.mp4,unknown,unknown,,,,0.0,,no
DNNs8Z3J6tC,DNNs8Z3J6tC_porto.bot_score0.8551.mp4,unknown,unknown,,,,0.0,,no
DKR041iSQyb,DKR041iSQyb_positivepaaji_score0.8638.mp4,unknown,unknown,,,,0.0,,no
DSaLiuaEW-J,DSaLiuaEW-J_powerwashsim_score0.8843.mp4,unknown,unknown,,,,0.0,,no
C9pXALHooQU,C9pXALHooQU_profilefinder.ai_score0.8835.mp4,unknown,unknown,,,,0.0,,no
DKHWXu-M-Ge_babot,DKHWXu-M-Ge_babot_project_score0.9361.mp4,unknown,unknown,,,,0.0,,no
DKh_zdQMWzI_babot,DKh_zdQMWzI_babot_project_score0.9519.mp4,unknown,unknown,,,,0.0,,yes
DNOg5-WsQo6_babot,DNOg5-WsQo6_babot_project_score0.9416.mp4,unknown,unknown,,,,0.0,,no
DNJQiOZKRrG,DNJQiOZKRrG_propertyfindersofficial_score0.9086.mp4,unknown,unknown,,,,0.0,,yes
DSiLqqbDPFf_aswiiin,DSiLqqbDPFf_aswiiin_raj_score0.8766.mp4,unknown,unknown,,,,0.0,,no
DGttPEnOJow,DGttPEnOJow_readbean.app_score0.9016.mp4,unknown,unknown,,,,0.0,,no
DHrXsQfuJUN,DHrXsQfuJUN_readbean.app_score0.8909.mp4,unknown,unknown,,,,0.0,,no
DLi_BplphoL,DLi_BplphoL_readbean.app_score0.9428.mp4,unknown,unknown,,,,0.0,,no
DMEjw6_uOiH,DMEjw6_uOiH_readbean.app_score0.9154.mp4,unknown,unknown,,,,0.0,,no
DSkrXZxjjod,DSkrXZxjjod_recordbuilds_score0.8735.mp4,unknown,unknown,,,,0.0,,no
DOBohgpCAp5,DOBohgpCAp5_reelsyncit_score0.8527.mp4,unknown,unknown,,,,0.0,,no
DGyPqDMKcYK,DGyPqDMKcYK_reicapitalmgt_score0.8782.mp4,unknown,unknown,,,,0.0,,no
DGet4F1RHNX,DGet4F1RHNX_rekruyt_score0.8616.mp4,unknown,unknown,,,,0.0,,no
DR2ESV6Dbnk,DR2ESV6Dbnk_rockdocdan_score0.8627.mp4,unknown,unknown,,,,0.0,,no
DSK41lvDXze,DSK41lvDXze_rockdocdan_score0.8841.mp4,unknown,unknown,,,,0.0,,no
DDFkwBIArxP,DDFkwBIArxP_rocketleaguesolution_score0.8650.mp4,unknown,unknown,,,,0.0,,no
DDW7sGJtEc5,DDW7sGJtEc5_rqbloxbacon_score0.8845.mp4,unknown,unknown,,,,0.0,,no
DDZepUuNdR5,DDZepUuNdR5_rqbloxbacon_score0.8834.mp4,unknown,unknown,,,,0.0,,no
DHMPtO_v_Ep,DHMPtO_v_Ep_rundoyen_score0.9327.mp4,unknown,unknown,,,,0.0,,no
DOvhSncDit8,DOvhSncDit8_ryne.ai_score0.9604.mp4,unknown,unknown,,,,0.0,,no
CzybI6GJ2mh,CzybI6GJ2mh_saikiranyedida_score0.8705.mp4,unknown,unknown,,,,0.0,,no
DDj2tKyzkLl,DDj2tKyzkLl_sansoftwares_score0.9438.mp4,unknown,unknown,,,,0.0,,no
DGxyLgfTCt4,DGxyLgfTCt4_sansoftwares_score0.9582.mp4,unknown,unknown,,,,0.0,,no
DLCFqoqRgKR_shayara,DLCFqoqRgKR_shayara_sanya_score0.8727.mp4,unknown,unknown,,,,0.0,,yes
DQw_kSEjBXX,DQw_kSEjBXX_seeker.social_score0.8603.mp4,unknown,unknown,,,,0.0,,no
DI-neU5NHD-,DI-neU5NHD-_selfplanr_score0.8563.mp4,unknown,unknown,,,,0.0,,no
DIm2KOwsa0N_college,DIm2KOwsa0N_college_sends_score0.9277.mp4,unknown,unknown,,,,0.0,,no
DRWDH3Tk94B,DRWDH3Tk94B_sheislostaroundtheworld_score0.8810.mp4,unknown,unknown,,,,0.0,,no
DSPBIJmERjE,DSPBIJmERjE_shubhoooom_score0.8649.mp4,unknown,unknown,,,,0.0,,no
DIytlvFBk5N,DIytlvFBk5N_smallest.ai_score0.8558.mp4,unknown,unknown,,,,0.0,,no
DAGsooDS0xl,DAGsooDS0xl_speakwithdiana_score0.8560.mp4,unknown,unknown,,,,0.0,,no
DSS_Is_Acbt,DSS_Is_Acbt_spotify_score0.9530.mp4,unknown,unknown,,,,0.0,,yes
DSPhkGRATsr,DSPhkGRATsr_startub.co_score0.8973.mp4,unknown,unknown,,,,0.0,,no
DEs7GE3pDjw,DEs7GE3pDjw_storyceptionhq_score0.9486.mp4,unknown,unknown,,,,0.0,,no
DMigiKwpkyw,DMigiKwpkyw_storyceptionhq_score0.8745.mp4,unknown,unknown,,,,0.0,,no
DNgVqx4pjLl,DNgVqx4pjLl_storyceptionhq_score0.9007.mp4,unknown,unknown,,,,0.0,,no
DRuIEtrCJV4,DRuIEtrCJV4_strique.io_score0.8824.mp4,unknown,unknown,,,,0.0,,yes
DRLICPwgcE1_irka,DRLICPwgcE1_irka_studio_score0.9203.mp4,unknown,unknown,,,,0.0,,yes
DSdZfEVAS39_irka,DSdZfEVAS39_irka_studio_score0.9172.mp4,unknown,unknown,,,,0.0,,no
DPMEmSxiVca_,DPMEmSxiVca__stylesnack_score0.8552.mp4,unknown,unknown,,,,0.0,,no
DPa5LyQkVB7_,DPa5LyQkVB7__stylesnack_score0.8580.mp4,unknown,unknown,,,,0.0,,no
DAiwnB7Ngoc,DAiwnB7Ngoc_taibsisic_score0.8738.mp4,unknown,unknown,,,,0.0,,no
ChBwu59godi,ChBwu59godi_tarulesocial_score0.8822.mp4,unknown,unknown,,,,0.0,,no
CjKx1IRJrMG,CjKx1IRJrMG_tarulesocial_score0.8967.mp4,unknown,unknown,,,,0.0,,no
DGqZBbqp3vf_vcom,DGqZBbqp3vf_vcom_tech_score0.9156.mp4,unknown,unknown,,,,0.0,,no
DSFKhxIjg-6_vcom,DSFKhxIjg-6_vcom_tech_score0.8988.mp4,unknown,unknown,,,,0.0,,no
DC7JZ-WSTsu,DC7JZ-WSTsu_thebattlepass_score0.8709.mp4,unknown,unknown,,,,0.0,,no
Co7VYcOIasN,Co7VYcOIasN_thechickenrush_score0.9218.mp4,unknown,unknown,,,,0.0,,no
DO0mxo2jAmj,DO0mxo2jAmj_thechickenrush_score0.9101.mp4,unknown,unknown,,,,0.0,,no
C-LCYBzvGje_cyberchimps_responsive,C-LCYBzvGje_cyberchimps_responsive_theme_score0.8546.mp4,unknown,unknown,,,,0.0,,no
DMXzBRnxAi9,DMXzBRnxAi9_themrtechking_score0.8737.mp4,unknown,unknown,,,,0.0,,no
